"","fp","pp","w"
"461","Hérault","Cerro de los Pesebres","1"
"462","Hérault","Sevilla","1"
"463","Hérault","El Judío","2"
"464","Hofheim am Taunus","Las Delicias","1"
"465","Hofheim am Taunus","Azanaque-Castillejo","3"
"466","Lacroix-Saint-Ouen","Alcolea del Río","1"
"467","Lacroix-Saint-Ouen","Las Delicias","1"
"468","Lacroix-Saint-Ouen","Barranco del Picacho","1"
"469","Lacroix-Saint-Ouen","Itálica","1"
"470","Le Mas-d'Agenais","Sevilla","2"
"471","Le Mas-d'Agenais","Itálica","1"
"472","Le Mas-d'Agenais","El Pinzón","1"
"473","Martigny","La Catria","1"
"474","Martigny","Arva","1"
"475","Martigny","Las Delicias","1"
"476","Martigny","Peñaflor","1"
"477","Nantes","Arva","1"
"478","Nantes","Las Delicias","1"
"479","Nantes","Malpica","2"
"480","Neuenheim","Alcolea del Río","1"
"481","Neuenheim","Peñaflor","1"
"482","Neuenheim","Sevilla","1"
"483","Neuenheim","La Estacada","1"
"484","Orléans","La Catria","1"
"485","Orléans","Malpica","1"
"486","Orléans","Sevilla","1"
"487","Orléans","La Mallena","1"
"488","Padova","Arva","2"
"489","Padova","Tarancón","2"
"490","Perpignan","Tostoneras","1"
"491","Perpignan","Malpica","2"
"492","Perpignan","Peñaflor","1"
"493","Pithiviers-le-Veil","Arva","1"
"494","Pithiviers-le-Veil","Alcolea del Río","1"
"495","Pithiviers-le-Veil","El Tejarillo","1"
"496","Pithiviers-le-Veil","Tostoneras","1"
"497","Ptuj","Azanaque-Castillejo","2"
"498","Ptuj","Villar Tesoro","2"
"499","Reus","Arva","2"
"500","Reus","El Temple","2"
"501","Saint-Etienne-Roilaye","La Catria","1"
"502","Saint-Etienne-Roilaye","Arva","1"
"503","Saint-Etienne-Roilaye","Malpica","1"
"504","Saint-Etienne-Roilaye","Huerta de Belén","1"
"505","Sauvian","Arva","1"
"506","Sauvian","Guadajoz","1"
"507","Sauvian","Villar Tesoro","1"
"508","Sauvian","Los Villares","1"
"509","Sierentz","Alcolea del Río","1"
"510","Sierentz","Malpica","1"
"511","Sierentz","Sevilla","1"
"512","Sierentz","Berro II","1"
"513","Solothurn","La Catria","1"
"514","Solothurn","Arva","1"
"515","Solothurn","Las Sesenta","1"
"516","Solothurn","Casa de Mingaobez","1"
"517","Southampton","Guadajoz","1"
"518","Southampton","Juan Barba","1"
"519","Southampton","Adelfa","1"
"520","Southampton","Casa de Mingaobez","1"
"521","Tarragona","La Catria","2"
"522","Tarragona","El Tejarillo","1"
"523","Tarragona","La Umbría de Moratalla","1"
"524","Tutbury","Arva","1"
"525","Tutbury","Alcolea del Río","1"
"526","Tutbury","El Tejarillo","1"
"527","Tutbury","Tostoneras","1"
"528","Vinkocvi","Las Delicias","2"
"529","Vinkocvi","Isla del Castillo","1"
"530","Vinkocvi","Las Ánimas","1"
"531","Walldürn","Arva","1"
"532","Walldürn","Alcolea del Río","1"
"533","Walldürn","El Tejarillo","1"
"534","Walldürn","Tostoneras","1"
"535","Altenstadt","Arva","1"
"536","Altenstadt","Malpica","2"
"537","Altenstadt","Villar de Brenes","1"
"538","Altenstadt","La Mallena","1"
"539","Altkalkar","Sevilla","1"
"540","Altkalkar","Guadajoz","1"
"541","Altkalkar","Alcotrista","1"
"542","Altkalkar","Juan Barba","1"
"543","Altkalkar","Adelfa","1"
"544","Badalona","El Judío","2"
"545","Badalona","Tarancón","1"
"546","Badalona","El Mohino","2"
"547","Caerhûn","La Catria","1"
"548","Caerhûn","Cerro de los Pesebres","1"
"549","Caerhûn","Azanaque-Castillejo","1"
"550","Caerhûn","Sevilla","1"
"551","Caerhûn","Casa del Guarda o Llano","1"
"552","Caernarfon","Malpica","1"
"553","Caernarfon","Sevilla","1"
"554","Caernarfon","huerta del río","1"
"555","Caernarfon","La María","1"
"556","Caernarfon","Juan Barba","1"
"557","Canterbury","La Catria","1"
"558","Canterbury","Arva","1"
"559","Canterbury","Alcolea del Río","1"
"560","Canterbury","El Tejarillo","1"
"561","Canterbury","Huerta de Belén","1"
"562","Chur","La Catria","1"
"563","Chur","Arva","1"
"564","Chur","Sevilla","1"
"565","Chur","Tarancón","1"
"566","Chur","Las Valbuenas","1"
"567","Friedberg","La Catria","1"
"568","Friedberg","Arva","1"
"569","Friedberg","El Tejarillo","1"
"570","Friedberg","Malpica","1"
"571","Friedberg","Las Sesenta","1"
"572","Günzburg","Arva","1"
"573","Günzburg","huerta del río","1"
"574","Günzburg","Las Sesenta","2"
"575","Günzburg","La Catria Alta","1"
"576","Ilchester","La Catria","1"
"577","Ilchester","Arva","1"
"578","Ilchester","Alcolea del Río","1"
"579","Ilchester","El Tejarillo","1"
"580","Ilchester","Tostoneras","1"
"581","Montmaurin","Arva","1"
"582","Montmaurin","Alcolea del Río","1"
"583","Montmaurin","El Tejarillo","1"
"584","Montmaurin","Tostoneras","1"
"585","Montmaurin","El Tesoro","1"
"586","Port-Vendres","La Catria","4"
"587","Port-Vendres","Alcolea del Río","1"
"588","Rottenburg","La Catria","2"
"589","Rottenburg","Alcolea del Río","1"
"590","Rottenburg","Las Delicias","1"
"591","Rottenburg","Malpica","1"
"592","South Shields","La Catria","1"
"593","South Shields","Arva","2"
"594","South Shields","Peñaflor","1"
"595","South Shields","Alcotrista","1"
"596","Szöny","Las Delicias","1"
"597","Szöny","Barranco del Picacho","1"
"598","Szöny","Dehesilla","1"
"599","Szöny","La Estrella","1"
"600","Szöny","Casablanca Oeste","1"
"601","Vendeuil-Caply","Arva","1"
"602","Vendeuil-Caply","Alcolea del Río","1"
"603","Vendeuil-Caply","Malpica","1"
"604","Vendeuil-Caply","Villar Tesoro","1"
"605","Vendeuil-Caply","Mejía","1"
"606","Watercrook","Sevilla","1"
"607","Watercrook","Itálica","1"
"608","Watercrook","Dehesilla","1"
"609","Watercrook","La Estrella","1"
"610","Watercrook","Las Sesenta","1"
"611","Winchester","La Catria","2"
"612","Winchester","Arva","1"
"613","Winchester","Las Delicias","1"
"614","Winchester","Casa del Guarda o Llano","1"
"615","Xanten","La Catria","1"
"616","Xanten","Las Delicias","1"
"617","Xanten","Malpica","1"
"618","Xanten","Peñaflor","1"
"619","Xanten","Sevilla","1"
"620","Agen","La Catria","1"
"621","Agen","Arva","1"
"622","Agen","Guadajoz","1"
"623","Agen","Las Sesenta","1"
"624","Agen","Juan Barba","1"
"625","Agen","Adelfa","1"
"626","Baden","Alcolea del Río","1"
"627","Baden","Las Delicias","1"
"628","Baden","Sevilla","1"
"629","Baden","Malpica Sur","1"
"630","Baden","El Temple","1"
"631","Baden","El Mohino","1"
"632","Boulogne-sur-Mer","La Catria","2"
"633","Boulogne-sur-Mer","Las Delicias","1"
"634","Boulogne-sur-Mer","Malpica","1"
"635","Boulogne-sur-Mer","Sevilla","1"
"636","Boulogne-sur-Mer","Malpica Sur","1"
"637","Forêt de la Compiègne","Arva","1"
"638","Forêt de la Compiègne","Alcolea del Río","1"
"639","Forêt de la Compiègne","El Tejarillo","1"
"640","Forêt de la Compiègne","Tostoneras","1"
"641","Forêt de la Compiègne","Las Sesenta","1"
"642","Forêt de la Compiègne","La Rambla y El Acebuchal","1"
"643","Fos-Sur-Mer","Azanaque-Castillejo","1"
"644","Fos-Sur-Mer","El Sotillo","1"
"645","Fos-Sur-Mer","El Judío","2"
"646","Fos-Sur-Mer","Dehesa de Arriba","1"
"647","Fos-Sur-Mer","La Mallena","1"
"648","La Buisse","La Catria","2"
"649","La Buisse","Azanaque-Castillejo","1"
"650","La Buisse","Peñaflor","1"
"651","La Buisse","Las Sesenta","1"
"652","La Buisse","La Catria Alta","1"
"653","Liberchies","Malpica","2"
"654","Liberchies","Peñaflor","1"
"655","Liberchies","Villar de Brenes","1"
"656","Liberchies","Itálica","1"
"657","Liberchies","Dehesa de Arriba","1"
"658","Loughor","Arva","1"
