Source,Target,Weight
Castor,Usk,85
Castor,Valras-Plage,85
Castor,Ampurias,85
Castor,Annecy,85
Castor,Iles de Lerins (baie de Cannes),85
Castor,Vichy,85
Castor,Sitges,85
Castor,Caudebec-en-Caux,85
Castor,Caersws,85
Castor,Wijk bij Duurstede,85
Castor,Alcalá del Río,85
Castor,Caerleon,85
Castor,Sidi Ali Ben Ahmed,85
Castor, Châteaumeillant,85
Castor,Fishtoft,85
Castor,Oberflorstadt,85
Castor,Bled Takourart (Tocolosida),85
Castor,Sainte-Colombe,85
Castor,Ribchester,85
Castor,Auerberg,85
Castor,Canterbury,85
Castor,Old Kilpatrick,85
Castor,Biesheim,85
Castor,Stockstadt am Main,85
Castor,Riudoms,85
Castor,Le Mas-d'Agenais,85
Castor,Gernsheim,85
Castor,Porto Conte,85
Castor,Fourvière,85
Castor,Bliesbrück,85
Castor,Lancaster,85
Castor,Newstead,85
Castor,Avenches,85
Castor,Cirencester,85
Castor,San Luis,85
Castor,Villeneuve-sur-Lot,85
Castor,Narbonne,85
Castor,Château Rousillon,85
Castor,Salé (Sala),85
Castor,Formentera,85
Castor,Chur,85
Castor,Boulogne,85
Castor,Walheim,85
Castor,Pomérols,85
Castor,Verneuil-en-Halatte,85
Castor,Sleaford,85
Castor,Lattes,85
Castor,Lisboa,85
Castor,Derby,85
Castor,Le Caylar,85
Castor,Bad Cannstatt,85
Castor,Dover,85
Castor,Stolberg,85
Castor,Astaffort,85
Castor,Brenes,85
Castor,Rheinhessen,85
Castor,Speyer,85
Castor,Remagen,85
Castor,Worcester,85
Castor,Orléans,85
Windisch,Sulz am Neckar,85
Windisch,Carlisle,85
Windisch,Ehl,85
Windisch,Saint-Ulrich,85
Windisch,Lleida,85
Windisch,Liverpool,85
Windisch,Sarre-Union,85
Windisch,Watercrook,85
Windisch,Rudston,85
Windisch,Miltenberg,85
Windisch,Chartres,85
Windisch,Lison,85
Windisch,Terrassa,85
Windisch,Salchenried,85
Windisch,Andard,85
Windisch,Fellbach,85
Windisch,Exeter,85
Windisch,Mannheim,85
Windisch,Witham,85
Windisch,Trôo,85
Windisch,Loughor,85
Windisch,Petronell (Carnuntum),85
Windisch,Lunel-Viel,85
Windisch,Calella,85
Windisch,Arlempdes,85
Windisch,Gaujac,85
Windisch,La Franqui,85
Windisch,Seengen,85
Windisch,Rezé,85
Windisch,Cagny,85
Windisch,Lyon?,85
Windisch,Saint-Romain-en-Gal,85
Windisch,Minorca,85
Windisch,Capestang,85
Windisch,Bad Kreuznach,85
Windisch,Solothurn,85
Windisch,Unterkirchberg,85
Windisch,Exning,85
Windisch,Lora del Río,85
Windisch,Pula,85
Windisch,Rabat,85
Windisch,Stuttgart,85
Windisch,Silchester,85
Windisch,Lezoux,85
Windisch,Carcassonne,85
Windisch,Mainz,85
Windisch,Aiguillon,85
Windisch,Bambiderstroff,85
Windisch,Les Andelys,85
Windisch,Mainz-Kastel,85
Windisch,Great Dunmow,85
Windisch,Doncaster,85
Windisch,Wasserbillig,85
Windisch,Rommerskirchen,85
Windisch,Southwark,85
Windisch,Saint-Gilles-du-Gard,85
Windisch,Mâcon,85
Windisch,Neuss,85
Windisch,Alcácer do Sal?,85
Windisch,York,85
Windisch,Martigny,85
Windisch,Erice,85
Windisch,Corbridge,85
Windisch,Oderzo,85
Windisch,Roanne,85
Windisch,Sagunto,85
Windisch,Bearsden,85
Windisch,Toulouse,85
Windisch,Mailhac,85
Windisch,Hedelbergen,85
Windisch,Weissenburg in Bayern,85
Windisch,Fort Vechten,85
Windisch,Viladamat,85
Windisch,Voorburg,85
Windisch,Chelmsford,85
Windisch,Bourbon-Lancy,85
Windisch,Baden-Baden,85
Windisch,Grostenquin,85
Windisch,St.Genies,85
Windisch,Wien,85
Windisch,Toulon,85
Windisch,Autun,85
Windisch,Friedberg,85
Windisch,Sierentz,85
Windisch,Abernethy,85
Windisch,Passau,85
Windisch,Gremecey,85
Windisch,Altkalkar,85
Windisch,Malton,85
Windisch,Hérault,85
Windisch,Warrington,85
Windisch,Koblenz,85
Windisch,Libourne,85
Windisch,Neckarrems,85
Windisch,Murviel-lès-Montpellier,85
Windisch,Gruissan,85
Windisch,Bishopton,85
Windisch,Charente-Maritime,85
Windisch,Rottenburg,85
Windisch,Sicilia,85
Windisch,Lamta,85
Windisch,Öhringen,85
Windisch,Faimingen,85
Windisch,Niederbieber,85
Windisch,Housesteads,85
Windisch,Denia,85
Windisch,Strasbourg,85
Windisch,Kastell Marienfels,85
Windisch,Baden,85
Windisch,Saint Paulien,85
Windisch,Koestlach,85
Windisch,Tutbury,85
Windisch,Civitavecchia,85
Windisch,Salisbury,85
Windisch,Tróia,85
Windisch,Hüfingen,85
Windisch,Eye,85
Windisch,Altkirch,85
Windisch,Villeneuve-lès-Béziers,85
Windisch,Tanger (Tingi),85
Windisch,Walldürn,85
Windisch,Brive,85
Windisch,Lezhë,85
Windisch,Sallèles,85
Windisch,Adelange,85
Windisch,Theilenhofen,85
Windisch,Günzburg,85
Windisch,Gheriat El-Garbia,85
Windisch,Orlen,85
Windisch,Montayral,85
Windisch,Broughton,85
Windisch,Groß-Gerau,85
Windisch,Ospringe,85
Windisch,Ilkley,85
Windisch,Marseille,85
Windisch,Altenstadt,85
Windisch,Nîmes,85
Windisch,Villajoyosa,85
Windisch,Falkirk,85
Windisch,Seville,85
Windisch,Durhamshire,85
Windisch,Vercelli,85
Windisch,Nijmegen,85
Windisch,Arles,85
Windisch,Le Crotoy,85
Windisch,Servian,85
Windisch,Almodóvar del Río,85
Windisch,Split,85
Windisch,Nuits-Saint-Georges,85
Windisch,Port-Vendres,85
Windisch,Augst,85
Windisch,Ostia Antica,85
Windisch,Eining,85
Windisch,Holt,85
Windisch,Sardegna,85
Windisch,Great Chesters,85
Windisch,Llafranc,85
Windisch,Golfe de Fos,85
Windisch,Fliessem,85
Windisch,Liberchies,85
Windisch,Szöny,85
Windisch,Lixus,85
Windisch,Frankfurt am Main,85
Windisch,Eisenberg,85
Windisch,Sainte-Bazeille,85
Windisch,Cap de Creus,85
Windisch,Genève,85
Windisch,La Buisse,85
Windisch,Köln,85
Windisch,Köngen,85
Windisch,Penrith,85
Windisch,Corfe Mullen,85
Windisch,Burghöfe,85
Windisch,Norton Disney,85
Windisch,Les Rues des Vignes,85
Windisch,Hammamet,85
Windisch,Rheinzabern,85
Windisch,Stanwix,85
Windisch,Bar Hill,85
Windisch,Llantwit Major,85
Windisch,Andance,85
Windisch,Chesterford,85
Windisch,Caerhûn,85
Windisch,Mairena del Alcor,85
Windisch,Winchester,85
Windisch,Heerlen,85
Windisch,Honfleur,85
Windisch,South Shields,85
Windisch,Brumath,85
Windisch,Morienval,85
Windisch,Hüchelhoven,85
Windisch,Lincoln,85
Windisch,Evreux,85
Windisch,Boscoreale,85
Windisch,Lengnau,85
Windisch,Hochtaunuskreis,85
Windisch,Bordeaux,85
Windisch,Bregenz,85
Windisch,Caerphilly,85
Windisch,Vendeuil-Caply,85
Windisch,Harnes,85
Windisch,Sète,85
Windisch,Carmona,85
Windisch,Hengistbury Head,85
Windisch,Fréjus,85
Windisch,Sancerre,85
Windisch,Eynsford,85
Windisch,Brecon,85
Windisch,Beckfoot,85
Windisch,Abbeville, environs,85
Windisch,Deneuvre,85
Windisch,La Guerche-sur-Aubois,85
Windisch,Vertault,85
Windisch,Sorcy,85
Windisch,Saint-Etienne-Roilaye,85
Windisch,Antioch,85
Windisch,Moers,85
Windisch,Groß-Umstadt,85
Windisch,Alghero,85
Windisch,Padova,85
Windisch,Ergnies,85
Windisch,Thérouanne,85
Windisch,Tarragona,85
Windisch,Bavay,85
Windisch,Abergavenny,85
Windisch,Saint Raphael,85
Windisch,Bonn,85
Windisch,Château-Thierry,85
Windisch,Hofheim am Taunus,85
Windisch,Neumagen,85
Windisch,Xanten,85
Windisch,Cosa,85
Windisch,Bourdeaux,85
Windisch,Arras,85
Windisch,Welzheim,85
Windisch,Pithiviers-le-Veil,85
Windisch,Étangs de Villepey,85
Windisch,Bo'ness,85
Windisch,Santa Pola,85
Windisch,Vorey,85
Windisch,Birrens,85
Windisch,Isla de Cabrera,85
Windisch,Alise-Sainte-Reine,85
Windisch,Montargis,85
Windisch,Piercebridge,85
Windisch,Montbazin,85
Windisch,Mèze,85
Windisch,Horbourg,85
Windisch,Bishopbriggs,85
Windisch,Neuhausen auf den Fildern,85
Windisch,Newcastle upon Tyne,85
Windisch,Northwich,85
Windisch,Agde,85
Windisch,Nantes,85
Windisch,Eincheville,85
Windisch,Badalona,85
Windisch,Newport,85
Windisch,Wroxeter,85
Windisch,Vinkocvi,85
Windisch,Bern,85
Windisch,Stettfeld,85
Windisch,Heuqueville,85
Windisch,Bardon Mill,85
Windisch,Nida-Heddernheim,85
Windisch,Soissons,85
Windisch,Manchester,85
Windisch,Westmill,85
Windisch,Bingen,85
Windisch,Hettange-Grande,85
Windisch,Bourges,85
Windisch,Chesters,85
Windisch,Banasa,85
Windisch,Pîtres,85
Windisch,Grand,85
Windisch,Sens,85
Windisch,Choloy,85
Windisch,Hofheim,85
Windisch,Posadas,85
Windisch,Arbon,85
Windisch,Saint-Romain-de-Jalionas,85
Windisch,Grantham,85
Windisch,Straubing,85
Windisch,Olten,85
Windisch,Kempten,85
Windisch,Dieburg,85
Windisch,Elne,85
Windisch,Saint-Marcel,85
Windisch,Koenigshoffen,85
Windisch,Colchester,85
Windisch,Boulogne-sur-Mer,85
Windisch,Southampton,85
Windisch,Adenau,85
Windisch,Schleitheim,85
Windisch,Caudebec-lès-Elbeuf,85
Windisch,Castlecary,85
Windisch,Sea Mills,85
Windisch,Zofingen,85
Windisch,Reus,85
Windisch,Branston,85
Windisch,San Fernando (Cádiz),85
Windisch,winterthur,85
Windisch,Cavalaire,85
Windisch,Habsheim,85
Windisch,Metz,85
Windisch,Worms,85
Windisch,Lelling,85
Windisch,Rubí,85
Windisch,Alicante,85
Windisch,Tours,85
Windisch,Fishbourne,85
Windisch,San Potito,85
Windisch,Rosbach von der Höhe,85
Windisch,Sarrebourg,85
Windisch,Ungersheim,85
Windisch,Scole,85
Windisch,Weißenthurm,85
Windisch,Ubbergen,85
Windisch,Coria del Río,85
Windisch,Magalas,85
Windisch,Forêt de la Compiègne,85
Windisch,St. Albans,85
Windisch,Dalswinton,85
Windisch,Umbria,85
Windisch,Winterton,85
Windisch,Harfleur,85
Windisch,Cahors,85
Windisch,Daventry,85
Windisch,Alzey,85
Windisch,Rocester,85
Windisch,Bad Ems,85
Windisch,Tayside,85
Windisch,Ptuj,85
Windisch,Gilsland,85
Windisch,Acs-Vaspuszta,85
Windisch,Saint-Satur,85
Windisch,Bad Wimpfen,85
Windisch,Perpignan,85
Windisch,Ardoch house,85
Windisch,Amiens,85
Windisch,Antibes,85
Windisch,Hornachuelos,85
Windisch,Nyon,85
Windisch,Hanau,85
Windisch,Puget-sur-Argens,85
Windisch,Heptonstall,85
Windisch,Peyrestortes,85
Windisch,Vicenza,85
Windisch,Athens,85
Windisch,Stoke Prior,85
Windisch,Levroux,85
Windisch,Valencia,85
Windisch,Bishop Auckland,85
Windisch,Forbach,85
Windisch,Chicester,85
Windisch,Lansargues,85
Windisch,Sauvian,85
Windisch,Santiponce,85
Windisch,Montmaurin,85
Windisch,Regensburg,85
Windisch,Sainte Catherine,85
Windisch,Budapest,85
Windisch,Calpe,85
Windisch,Caernarfon,85
Windisch,Barcelona,85
Windisch,Vendres,85
Windisch,Neuenheim,85
Windisch,Etaples,85
Windisch,Aachen,85
Windisch,Toft Newton,85
Windisch,Gelligaer,85
Windisch,Écija,85
Windisch,Hexham,85
Windisch,San Juan Despí,85
Windisch,Leicester,85
Windisch,Poitiers,85
Windisch,Kösching,85
Windisch,Périgueux,85
Windisch,Steene,85
Windisch,Großkrotzenburg,85
Windisch,Cap Corse,85
Windisch,Caerwent,85
Windisch,Roma,85
Windisch,Alphen aan den Rijn,85
Windisch,Bury Saint Edmunds,85
Windisch,Musselburgh,85
Windisch,Mandeure,85
Windisch,Lacroix-Saint-Ouen,85
Windisch,Lectoure,85
Windisch,Godmanchester,85
Windisch,Sabadell,85
Windisch,Southend,85
Windisch,Holybourne,85
Windisch,Sidi Ali ben ahmed (Thamusida),85
Windisch,Naix-aux-forges,85
Windisch,Haute-Goulaine,85
Windisch,Dieulouard,85
Windisch,Fuente Palmera,85
Windisch,Ensch,85
Windisch,Souk-el-Arba,85
Windisch,Volubilis,85
Windisch,Alexandria,85
Windisch,Dampierre-en-Burly,85
Windisch,Le Barroux,85
Windisch,Liffol-le-Grand,85
Windisch,Ilchester,85
Windisch,London,85
Windisch,Wiesbaden,85
Windisch,Rouen,85
Windisch,Rebecques,85
Windisch,Schwaigern,85
Windisch,Tortona,85
Windisch,Cambrai,85
Windisch,Trier,85
Windisch,Manta Rota,85
Windisch,West Woodburn,85
Windisch,Vienne,85
Windisch,Fos-Sur-Mer,85
Windisch,Saintes,85
Windisch,Edinburgh,85
Windisch,Freisen,85
Windisch,Aldborough,85
Windisch,Palau-del-Vidre,85
Windisch,Risstissen,85
Windisch,Titelberg,85
Windisch,Angers,85
Windisch,Brachy,85
Windisch,Maraussan,85
Windisch,Beauvais,85
Windisch,Rodez,85
Windisch,Palma del Río,85
Windisch,Chester,85
Windisch,Ladenburg (Lopodunum),85
Windisch,Selby,85
Windisch,Sant Boi de Llobregat,85
Windisch,Agen,85
Windisch,Argentona,85
Windisch,Tác,85
Windisch,Hainstadt,85
Windisch,Butzbach,85
Windisch,Usk,85
Windisch,Valras-Plage,85
Windisch,Ampurias,85
Windisch,Annecy,85
Windisch,Iles de Lerins (baie de Cannes),85
Windisch,Vichy,85
Windisch,Sitges,85
Windisch,Caudebec-en-Caux,85
Windisch,Caersws,85
Windisch,Wijk bij Duurstede,85
Windisch,Alcalá del Río,85
Windisch,Caerleon,85
Windisch,Sidi Ali Ben Ahmed,85
Windisch, Châteaumeillant,85
Windisch,Fishtoft,85
Windisch,Oberflorstadt,85
Windisch,Bled Takourart (Tocolosida),85
Windisch,Sainte-Colombe,85
Windisch,Ribchester,85
Windisch,Auerberg,85
Windisch,Canterbury,85
Windisch,Old Kilpatrick,85
Windisch,Biesheim,85
Windisch,Stockstadt am Main,85
Windisch,Riudoms,85
Windisch,Le Mas-d'Agenais,85
Windisch,Gernsheim,85
Windisch,Porto Conte,85
Windisch,Fourvière,85
Windisch,Bliesbrück,85
Windisch,Lancaster,85
Windisch,Newstead,85
Windisch,Avenches,85
Windisch,Cirencester,85
Windisch,San Luis,85
Windisch,Villeneuve-sur-Lot,85
Windisch,Narbonne,85
Windisch,Château Rousillon,85
Windisch,Salé (Sala),85
Windisch,Formentera,85
Windisch,Chur,85
Windisch,Boulogne,85
Windisch,Walheim,85
Windisch,Pomérols,85
Windisch,Verneuil-en-Halatte,85
Windisch,Sleaford,85
Windisch,Lattes,85
Windisch,Lisboa,85
Windisch,Derby,85
Windisch,Le Caylar,85
Windisch,Bad Cannstatt,85
Windisch,Dover,85
Windisch,Stolberg,85
Windisch,Astaffort,85
Windisch,Brenes,85
Windisch,Rheinhessen,85
Windisch,Speyer,85
Windisch,Remagen,85
Windisch,Worcester,85
Windisch,Orléans,85
